num,uec256_name,food_id,food_name,energy_kcal,water_g,protein_g,fat_g,fiber_g,carbohydrate_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copeer_mg,manganess_mg,iodine_ug,selenium_ug,chromium_ug,molybdeum_ug,vitamin_d_ug,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,biotin_ug,vitamin_c_mg,,,
48,sashimi,19017,＜和食料理＞　さしみ　盛り合わせ,137,72.4,22.1,4.4,0,0.3,120,380,31,34,260,1.1,1.1,0.12,0.02,74,48,1,2,2.4,20,0.11,0.11,6.5,0.41,1.8,9,nan,2,,,
49,grilled pacific saury,10174,＜魚類＞　さんま　皮つき　焼き,281,53.2,23.3,22.8,(0),0.2,130,260,37,30,220,1.7,0.9,0.15,0.03,25,45,1,1,13.0,Tr,Tr,0.30,9.8,0.42,16.0,17,9.4,0,,,
50,sukiyaki,19018,＜和食料理＞　すき焼,175,72.0,10.6,11.2,1.3,7.6,400,310,34,26,110,1.8,1.5,0.09,0.19,6,12,3,10,0.7,59,0.07,0.15,3.2,0.22,0.6,60,nan,19,,,
51,sweet and sour pork,18047,中国料理　菜類　酢豚,77,(83.4),(4.6),(3.3),(0.8),(7.6),(210),(130),(9),(10),(52),(0.3),(0.5),(0.04),(0.15),0,(5),(1),(2),(0.1),(6),(0.17),(0.05),(1.4),(0.10),(0.1),(9),(1.6),(4),,,
52,lightly roasted fish,19019,＜魚類＞　＜かつお類＞　かつお　たたき,114,75.0,22.3,1.6,0.1,0.2,180,360,9,28,260,1.8,0.7,0.13,0.02,23,53,1,2,3.2,3,0.20,0.15,9.7,0.73,7.9,12,13.0,17,,,
53,steamed egg hotchpotch,19020,＜和食料理＞　茶わん蒸し,91,85.2,6.4,4.4,0.2,6.4,280,120,36,12,77,0.8,0.5,0.04,0.04,11,12,1,7,0.9,7,0.05,0.13,0.4,0.08,0.5,33,10.4,2,,,
54,tempura,19021,＜和食料理＞　天ぷら盛り合わせ,173,67.6,6.3,9.5,1.2,15.6,170,140,28,22,94,0.7,0.6,0.11,0.21,11,10,2,7,0.5,14,0.06,0.06,1.0,0.09,0.4,26,nan,4,,,
55,fried chicken,11300,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　フライ,246,52.4,26.8,12.8,-,6.7,95,440,14,36,260,0.4,0.8,0.04,0.08,2,26,Tr,5,-,35,0.09,0.15,12.0,0.39,0.1,15,3.9,2,,,
56,sirloin cutlet,11276,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,429,31.2,22.0,35.9,0.7,9.8,110,340,14,27,200,0.6,1.9,0.07,0.12,Tr,23,Tr,4,0.7,16,0.75,0.15,7.0,0.31,0.5,6,5.0,1,,,
57,nanbanzuke,18038,和風料理　その他　アジの南蛮漬け,109,(78.0),(8.1),(6.1),(0.9),(6.2),(290),(190),(37),(19),(110),(0.4),(0.5),(0.04),(0.10),(8),(23),(1),(2),(3.9),(9),(0.06),(0.06),(2.2),(0.12),(2.1),(7),(2.3),(3),,,
